S.No,In-use English,Changes in English,In-use Telugu,Changes in Telugu,Section,Times used,Translation keys
685,Pending Invitation,,పెండింగ్ ఆహ్వానం,,A,2,pending_invitation pending_invitation_status
686,Pending Invitations,,పెండింగ్ ఆహ్వానాలు,,A,1,pending_invitations_header
687,Pending Loan Requests,,పెండింగ్ రుణ అభ్యర్థనలు,,A,1,pending_loan_requests
688,Pending Messages,,పెండింగ్ సందేశాలు,,A,1,pending_messages
689,Pending Online Payments,,పెండింగ్ ఆన్‌లైన్ చెల్లింపులు,,A,1,pending_online_payments
690,Pending Requests,,"1) పెండింగ్‌లో ఉన్న అభ్యర్థనలు
2) పెండింగ్ అభ్యర్థనలు",,A,2,pending_requests pending_requests_header
691,Pending Route Changes,,పెండింగ్ మార్గం మార్పులు,,A,1,pending_route_changes
692,Pending Salary,,పెండింగ్ జీతం,,A,1,pending_salary
693,Pending Settlement,,పెండింగ్ సెటిల్‌మెంట్,,A,1,pending_settlement
694,Pending Withdrawal Requests,,పెండింగ్ ఉపసంహరణ అభ్యర్థనలు,,A,1,pending_withdrawal_requests
695,Permission Profile,,అనుమతి ప్రొఫైల్,,A,1,permission_profile
696,Permissions,,అనుమతులు,,A,1,permissions
697,Phone,,ఫోన్,,A,2,phone phone_field
698,Phone Number,,ఫోన్ నంబర్,,A,2,phone_number phone_number_plain_field
699,Physical Cash,,భౌతిక నగదు,,A,1,physical_cash
700,Physical Cash (₹),,భౌతిక నగదు (₹),,A,1,physical_cash_field
701,Physical Cash Declared,,ప్రకటించిన భౌతిక నగదు,,A,1,physical_cash_declared
702,Pick,,ఎంచుకోండి,,A,1,pick
703,PIN,,పిన్,,A,1,village_search_by_pin
704,PIN Code,,పిన్ కోడ్,,A,3,pin_code pin_code_field pin_code_plain_field
705,PIN Code *,,పిన్ కోడ్ *,,A,1,pin_code_required_field
706,Plans,,ప్లాన్‌లు,,A,1,plans
707,Platform Admin,,ప్లాట్‌ఫారమ్ అడ్మిన్,,A,1,platform_admin
708,Pre-Existing Agent,,ముందుగా ఉన్న ఏజెంట్,,A,1,pre_existing_agent
709,Pre-Existing Business,,ముందుగా ఉన్న వ్యాపారం,,A,2,pre-existing business pre_existing_business
710,Pre-Existing Customer,,ముందుగా ఉన్న కస్టమర్,,A,1,pre_existing_customer
711,Pre-Existing Investor,,ముందుగా ఉన్న పెట్టుబడిదారు,,A,1,pre_existing_investor
712,Pre-Existing Records,,ముందుగా ఉన్న రికార్డులు,,A,1,group_pre_existing_records
713,Preferred Repayment Frequency,,ఇష్టపడే తిరిగి చెల్లింపు తరచుదనం,,A,1,preferred_repayment_frequency
714,Principal + Interest,,అసలు + వడ్డీ,,A,1,principal_plus_interest
715,Principal Amount,,అసలు మొత్తం,,A,1,principal_amount
716,Principal Full,,అసలు పూర్తిగా,,A,1,principal_full
717,Principal Partial,,అసలు పాక్షికం,,A,1,principal_partial
718,Principal Portion *,,అసలు భాగం *,,A,1,principal_portion_field
719,Processing Fee,,ప్రాసెసింగ్ ఫీజు,,A,2,processing_fee processing_fee_field
720,Profile,,ప్రొఫైల్,,A,1,profile
721,Profile Photo,,ప్రొఫైల్ ఫోటో,,A,1,profile_photo
722,Profit Share,,లాభ వాటా,,A,1,profit_share
723,Profit Share %,,లాభ వాటా %,,A,1,profit_share_percent
724,Profit Share Distribution,,లాభ వాటా పంపిణీ,,A,1,profit_share_distribution
725,Proof Document,,రుజువు పత్రం,,A,1,proof_document
726,Proposed Investment,,ప్రతిపాదిత పెట్టుబడి,,A,1,proposed_investment
727,Proposed Investment Amount,,ప్రతిపాదిత పెట్టుబడి మొత్తం,,A,1,proposed_investment_amount_field
728,Proposed: ₹{amount},,ప్రతిపాదించినది: ₹{amount},,A,1,proposed_amount_note
729,Purpose,,ప్రయోజనం,,A,1,purpose
730,Purpose (optional),,ప్రయోజనం (ఐచ్ఛికం),,A,1,purpose_optional_field
731,Quick Actions,,త్వరిత చర్యలు,,A,1,quick_actions
732,Range,,పరిధి,,A,1,range
733,Reactivate,,తిరిగి యాక్టివేట్ చేయండి,,A,1,reactivate
734,Read,,చదవండి,,A,1,read_terms
735,Reason,,కారణం,,A,1,reason_field
736,Reason (required),,కారణం (తప్పనిసరి),,A,1,reason_required_field
737,Reason *,,కారణం *,,A,1,reason_required
738,Reason for reopening,,తిరిగి తెరవడానికి కారణం,,A,1,reopen_reason_label
739,Reason: {reason},,కారణం: {reason},,A,1,reason_note
740,Recalculate,,తిరిగి లెక్కించండి,,A,1,recalculate
741,Receipt,,రసీదు,,A,1,receipt
742,Receipt #{number},,రసీదు #{number},,A,1,receipt_number
743,Receipt: {number},,రసీదు: {number},,A,1,receipt_note
744,Received From Agents,,ఏజెంట్ల నుండి అందినది,,A,1,transfers_in
745,Recent Deletes,,ఇటీవలి తొలగింపులు,,A,1,recent_deletes
746,Record Availing,,పొందడం నమోదు చేయండి,,A,1,record_availing
747,Record Investment,,పెట్టుబడి నమోదు చేయండి,,A,1,record_investment
748,Record Payment,,చెల్లింపు నమోదు చేయండి,,A,1,record_payment
749,Recorded on {date}.,,{date}న నమోదు చేయబడింది.,,A,1,recorded_on_note
750,Recovered on {date},,{date}న తిరిగి వచ్చింది,,A,1,short_recovered_on
751,Reduce to Amount,,మొత్తానికి తగ్గించండి,,A,1,reduce_to_amount
752,Reference,,సూచన,,A,1,reference
753,Refund,,రీఫండ్,,A,1,refund
754,Refused Payment,,చెల్లింపు నిరాకరించారు,,A,1,refused_payment
755,Register,,నమోదు చేయండి,,A,2,register register_button
756,Register Agent,,ఏజెంట్ నమోదు చేయండి,,A,1,register_agent
757,Register Customer,,కస్టమర్‌ను నమోదు చేయండి,,A,1,register_customer
758,Register New Agent,,కొత్త ఏజెంట్ నమోదు చేయండి,,A,1,register_new_agent
759,Reject,,తిరస్కరించండి,,A,1,reject
760,Reject Investor Request,,పెట్టుబడిదారు అభ్యర్థనను తిరస్కరించండి,,A,1,reject_investor_request
761,Reject Loan Request,,రుణ అభ్యర్థనను తిరస్కరించండి,,A,1,reject_loan_request
762,Reject Withdrawal Request,,ఉపసంహరణ అభ్యర్థనను తిరస్కరించండి,,A,1,reject_withdrawal_request
763,Relationship,,సంబంధం,,A,2,relationship relationship_field
764,Remaining Balance,,"1) మిగిలిన బ్యాలెన్స్
2) మిగిలిన నిల్వ",,A,2,remaining_balance remaining_balance_label
765,Remaining Installments,,మిగిలిన వాయిదాలు,,A,1,remaining_installments
766,Remaining {percent}%,,మిగిలిన {percent}%,,A,1,remaining_percent
767,Remarks,,వ్యాఖ్యలు,,A,3,remarks remarks_field remarks_tab
768,Remarks (Optional),,వ్యాఖ్యలు (ఐచ్ఛికం),,A,1,remarks_optional
769,Remarks (optional),,వ్యాఖ్యలు (ఐచ్ఛికం),,A,1,remarks_optional_field
770,Remarks saved.,,వ్యాఖ్యలు సేవ్ చేయబడ్డాయి.,,A,1,remarks_saved_note
771,Remarks: {remarks},,వ్యాఖ్యలు: {remarks},,A,1,remarks_colon_note
772,Remove,,తీసివేయండి,,A,1,remove
773,Remove Area,,ప్రాంతం తీసివేయండి,,A,2,remove_area remove_area_tooltip
774,Remove Operating Area?,,పని ప్రాంతాన్ని తీసివేయాలా?,,A,1,remove_operating_area_question
775,Remove This Customer?,,ఈ ఖాతాదారుని తొలగించాలా?,,A,1,remove_customer_question
776,Remove Village?,,గ్రామాన్ని తీసివేయాలా?,,A,1,remove_village_question
777,Removed,,తీసివేయబడింది,,A,1,removed
778,Rename,,పేరు మార్చండి,,A,1,rename
779,Rename Area,,ప్రాంతం పేరు మార్చండి,,A,1,rename_area
780,Rename Group,,గ్రూప్ పేరు మార్చండి,,A,1,rename_group
781,Reopen,,తిరిగి తెరవండి,,A,1,reopen
782,Reopen Closed Day,,మూసివేసిన దినాన్ని తిరిగి తెరవండి,,A,1,reopen_closed_day
783,Reopen Migration,,మైగ్రేషన్ తిరిగి తెరవండి,,A,1,reopen_migration
784,Repayment Amount,,తిరిగి చెల్లింపు మొత్తం,,A,1,repayment_amount
785,Repayment Amount *,,"1) తిరిగి చెల్లించాల్సిన మొత్తం *
2) తిరిగి చెల్లింపు మొత్తం *",,A,2,repayment_amount_field repayment_amount_required_field
786,Repayment Frequency,,తిరిగి చెల్లింపు తరచుదనం,,A,1,repayment_frequency_field
787,Repayment Schedule,,తిరిగి చెల్లింపు షెడ్యూల్,,A,1,repayment_schedule
788,Repayment Type,,తిరిగి చెల్లింపు రకం,,A,3,repayment_type repayment_type_field repayment_type_field_plain
789,Report Hub,,నివేదిక కేంద్రం,,A,1,report_hub
790,Reports,,నివేదికలు,,A,1,reports
791,Request Business Membership,,వ్యాపార సభ్యత్వం అభ్యర్థించండి,,A,1,request_business_membership
792,Request Custom Amount,,కస్టమ్ మొత్తం అభ్యర్థించండి,,A,1,request_custom_amount
793,Request Extension,,పొడిగింపు అభ్యర్థించండి,,A,1,request_extension
794,Request New Loan,,కొత్త రుణం అభ్యర్థించండి,,A,1,request_new_loan
795,Request Queue (Investors),,అభ్యర్థన క్యూ (పెట్టుబడిదారులు),,A,1,request_queue_investors
796,Request Withdrawal,,ఉపసంహరణ అభ్యర్థించండి,,A,2,request_withdrawal request_withdrawal_title
797,Requested Amount,,అభ్యర్థించిన మొత్తం,,A,1,requested_amount
798,Requested Amount *,,అభ్యర్థించిన మొత్తం *,,A,1,requested_amount_field
799,Requested Extension,,గడువు పొడిగింపు కోరారు,,A,1,requested_extension
800,Requested Later Visit,,తర్వాత సందర్శన కోరారు,,A,1,requested_later_visit
801,Requested {date},,{date}న అభ్యర్థించారు,,A,1,requested_on_note
802,Requested: {amount} ({type}),,అభ్యర్థించినది: {amount} ({type}),,A,1,requested_amount_type_note
803,Required,,తప్పనిసరి,,A,1,required_label
804,Resend OTP,,OTP మళ్లీ పంపండి,,A,1,resend_otp
805,Reset Password,,పాస్‌వర్డ్ రీసెట్ చేయండి,,A,1,reset_password
806,Resolve,,పరిష్కరించండి,,A,1,resolve
807,Restore,,పునరుద్ధరించండి,,A,1,restore
808,Retake Photo,,మళ్ళీ ఫోటో తీయండి,,A,1,retake_photo
809,Retry,,మళ్ళీ ప్రయత్నించండి,,A,1,retry
810,Return,,తిరిగి పంపండి,,A,1,return_label
811,Return Account,,ఖాతాను తిరిగి పంపండి,,A,1,return_account
812,Returning This Session,,ఈ సెషన్‌లో తిరిగి వస్తున్నది,,A,1,returning_this_session
813,Review,,సమీక్షించండి,,A,1,review
814,Review Summary,,సారాంశాన్ని సమీక్షించండి,,A,1,review_summary
815,ROI,,ROI,,A,1,roi
816,ROI Rate,,ROI రేటు,,A,1,roi_rate
817,"ROI, Yearly Equivalent",,"ROI, వార్షిక సమానం",,A,1,roi_yearly_equivalent
818,Row {row}: {message},,వరుస {row}: {message},,A,1,row_error_note
819,Row {row}: {reason},,వరుస {row}: {reason},,A,1,row_duplicate_note
820,Running,,నడుస్తున్నది,,A,1,running_amount
821,Salary Cycle,,జీతం చక్రం,,A,2,salary_cycle salary_cycle_field
822,Salary History,,జీతం చరిత్ర,,A,1,salary_history
823,Save,,సేవ్ చేయండి,,A,1,save
824,Save & Select,,సేవ్ చేసి ఎంచుకోండి,,A,1,save_and_select
825,Save Availing,,పొందడం సేవ్ చేయండి,,A,1,save_availing
826,Save Business,,వ్యాపారం సేవ్ చేయండి,,A,1,save_business
827,Save Cheeti,,చీటీ సేవ్ చేయండి,,A,1,save_cheti
828,Save Existing Loan,,ఇప్పటికే ఉన్న రుణం సేవ్ చేయండి,,A,1,save_existing_loan
829,Save Payment,,చెల్లింపు సేవ్ చేయండి,,A,1,save_payment
830,Save Permissions,,అనుమతులు సేవ్ చేయండి,,A,1,save_permissions
831,Save Short,,లోటును సేవ్ చేయండి,,A,1,save_short
832,Save This Loan,,ఈ రుణాన్ని సేవ్ చేయండి,,A,1,save_this_loan
833,Save Visit,,సందర్శన సేవ్ చేయండి,,A,1,save_visit
834,Search,,శోధించండి,,A,1,search
835,Search Again,,మళ్ళీ శోధించండి,,A,1,search_again
836,Search Existing Loans,,ఇప్పటికే ఉన్న రుణాలను శోధించండి,,A,1,search_existing_loans_field
837,Search Existing MLID,,ఇప్పటికే ఉన్న MLID శోధించండి,,A,1,search_existing_mlid
838,Search This List,,ఈ జాబితాలో వెతకండి,,A,1,search_this_round
839,Search Transactions,,లావాదేవీలను వెతకండి,,A,1,search_transactions
840,Search Village/Town,,"1) గ్రామం/పట్టణం వెతకండి
2) గ్రామం/పట్టణం శోధించండి",,A,2,search_village_town search_village_town_plain_field
841,Search Village/Town *,,గ్రామం/పట్టణం శోధించండి *,,A,1,search_village_town_field
842,See All,,అన్నీ చూడండి,,A,1,see_all
843,Select,,ఎంచుకోండి,,A,1,select
844,Select All,,అన్నీ ఎంచుకోండి,,A,1,select_all
845,Select Business,,వ్యాపారాన్ని ఎంచుకోండి,,A,1,select_business
846,Select Customer,,కస్టమర్‌ను ఎంచుకోండి,,A,1,select_customer
847,Select Member Type,,సభ్య రకాన్ని ఎంచుకోండి,,A,1,select_member_type
848,Select Operating Area(s),,పని ప్రాంతం(లు) ఎంచుకోండి,,A,1,select_operating_areas
849,Select Role,,పాత్రను ఎంచుకోండి,,A,1,select_role
850,Select Village,,గ్రామం ఎంచుకోండి,,A,1,select_village
851,Selected Investment,,ఎంచుకున్న పెట్టుబడి,,A,1,selected_investment
852,Selected Loan,,ఎంచుకున్న రుణం,,A,1,selected_loan
853,Selected: {label},,ఎంచుకున్నది: {label},,A,1,selected_note
854,Send,,పంపండి,,A,1,send
855,Send BF Cash,,BF నగదు పంపండి,,A,1,send_bf_cash
856,Send Offer,,ఆఫర్ పంపండి,,A,1,send_offer
857,Send OTP,,OTP పంపండి,,A,1,send_otp
858,September,,సెప్టెంబర్,,A,1,september
859,Session Timed Out,,సెషన్ గడువు ముగిసింది,,A,1,session_timed_out
860,Settings,,సెట్టింగ్‌లు,,A,1,settings
861,Settlement,,సెటిల్‌మెంట్,,A,1,settlement
862,Settlement Details,,సెటిల్‌మెంట్ వివరాలు,,A,1,settlement_details
863,Settlement Excess,,సెటిల్‌మెంట్ అధికం,,A,1,settlement_excess
864,Settlement Short,,సెటిల్‌మెంట్ తక్కువ,,A,1,settlement_short
865,Settlement Summary,,సెటిల్‌మెంట్ సారాంశం,,A,1,settlement_summary
866,Share File,,ఫైల్ షేర్ చేయండి,,A,1,share_file
867,Shifted Village,,గ్రామం మారింది,,A,1,shifted_village
868,Short,,తక్కువ,,A,1,short
869,Short Carried In,,తీసుకువచ్చిన లోటు,,A,1,agent_opening_short
870,Short recorded: {amount},,లోటు నమోదైంది: {amount},,A,1,short_recorded
871,Shorts Deducted,,తీసివేసిన లోటులు,,A,1,shorts_deducted
872,Show,,చూపించు,,A,1,show
873,Simple,,సాధారణ,,A,1,simple
874,Skip for Now,,ప్రస్తుతానికి దాటవేయండి,,A,1,skip_for_now
875,Skipped,,దాటవేయబడింది,,A,1,skipped
876,Skipped Customers,,దాటవేసిన కస్టమర్లు,,A,1,skipped_customers
877,Someone Else Paid,,వేరొకరు చెల్లించారు,,A,1,someone_else_paid
878,Sort by,,క్రమబద్ధీకరించు,,A,1,sort_by
879,Sorted By,,క్రమం,,A,1,sorted_by
880,Spreadsheet,,స్ప్రెడ్‌షీట్,,A,1,spreadsheet
881,Start Business Session,,వ్యాపార సెషన్ ప్రారంభించండి,,A,1,start_business_session
882,Start Date,,ప్రారంభ తేదీ,,A,1,start_date
883,Start New Case,,కొత్త కేసు ప్రారంభించండి,,A,1,start_new_case
884,Start New Loan,,కొత్త రుణం ప్రారంభించండి,,A,1,start_new_loan
885,State *,,రాష్ట్రం *,,A,1,state_field
886,Statement,,స్టేట్‌మెంట్,,A,1,statement
887,Statement Period,,స్టేట్‌మెంట్ కాలం,,A,1,statement_period
888,Status,,స్థితి,,A,1,status
889,Step 1,,దశ 1,,A,1,step_1
890,Step 2,,దశ 2,,A,1,step_2
891,Step 3,,దశ 3,,A,1,step_3
892,Still owed,,ఇంకా బాకీ,,A,1,still_owed
893,Submission Time (HH:MM),,సమర్పణ సమయం (HH:MM),,A,1,submission_time_field
894,Submit,,సమర్పించండి,,A,2,submit submit_label
895,Submit Request,,అభ్యర్థన సమర్పించండి,,A,1,submit_request
896,Submit Settlement,,సెటిల్‌మెంట్ సమర్పించండి,,A,1,submit_settlement
897,Subscription,,సబ్‌స్క్రిప్షన్,,A,1,subscription
898,Summary,,సారాంశం,,A,2,summary summary_tab
899,Support: support@manaline.app,,మద్దతు: support@manaline.app,,A,1,support_email_note
900,Supporting Remarks,,సహాయక వ్యాఖ్యలు,,A,1,supporting_remarks_field
901,Suspend,,సస్పెండ్ చేయండి,,A,1,suspend
902,Suspend Customer,,కస్టమర్‌ను సస్పెండ్ చేయండి,,A,1,suspend_customer
903,Suspended,,సస్పెండ్ చేయబడింది,,A,1,suspended
904,Switch Business,,వ్యాపారం మార్చండి,,A,1,switch_business
905,Switch Camera,,కెమెరా మార్చండి,,A,1,switch_camera
906,Switch Role,,పాత్ర మార్చండి,,A,1,switch_role
907,Switch Workspace,,వర్క్‌స్పేస్ మార్చండి,,A,1,switch_workspace
908,System Expected (Computed),,సిస్టమ్ ఆశించినది (లెక్కించబడింది),,A,1,system_expected_computed
909,Take a Photo,,ఫోటో తీయండి,,A,1,take_photo
910,Tap To Open,,తెరవడానికి నొక్కండి,,A,1,tap_to_open
911,Target Customer ID,,లక్ష్య కస్టమర్ ఐడి,,A,1,target_customer_id
912,Temporarily Disabled,,తాత్కాలికంగా నిలిపివేయబడింది,,A,1,temporarily_disabled
913,Terms & Conditions,,నిబంధనలు & షరతులు,,A,1,terms_and_conditions
914,Their MLID,,వారి MLID,,A,1,their_mlid_field
915,Time,,సమయం,,A,1,time
916,Timeline,,కాలక్రమం,,A,1,timeline
917,To {name},,{name}కు,,A,1,to_agent_note
918,Today Summary,,నేటి సారాంశం,,A,1,today_summary
919,Today's Business Summary,,నేటి వ్యాపార సారాంశం,,A,1,todays_business_summary
920,Today's Collection Total,,నేటి వసూలు మొత్తం,,A,1,todays_collection_total
921,Today's Collections,,నేటి వసూళ్లు,,A,2,todays_collections todays_collections_label
922,Today's Collections Total,,నేటి మొత్తం వసూళ్లు,,A,1,todays_collections_total
923,Today's Difference,,నేటి తేడా,,A,1,todays_difference
924,Today's Due,,నేటి బకాయి,,A,1,todays_due
925,Today's Expenses,,నేటి ఖర్చులు,,A,1,todays_expenses
926,Today's Investments,,నేటి పెట్టుబడులు,,A,1,todays_investments
927,Today's Loan Distribution,,నేటి రుణ పంపిణీ,,A,1,todays_loan_distribution
928,Today's Loans,,నేటి రుణాలు,,A,1,todays_loans
929,Today's Outstanding,,నేటి బాకీ,,A,1,todays_outstanding
930,Today's Route,,నేటి మార్గం,,A,1,todays_route
931,Today's Target,,నేటి లక్ష్యం,,A,1,todays_target
932,Today's Withdrawals,,నేటి ఉపసంహరణలు,,A,1,todays_withdrawals
933,Total,,మొత్తం,,A,1,total
934,Total Amount,,మొత్తం సొమ్ము,,A,1,total_amount
935,Total Balance,,మొత్తం బ్యాలెన్స్,,A,1,total_balance
936,Total Collections,,మొత్తం వసూళ్లు,,A,1,total_collections
937,Total Due,,మొత్తం బకాయి,,A,1,total_due
938,Total Expenses,,మొత్తం ఖర్చులు,,A,1,total_expenses
939,Total Instalments *,,మొత్తం వాయిదాలు *,,A,1,total_instalments_field
940,Total Interest,,మొత్తం వడ్డీ,,A,1,total_interest
941,Total Interest Earned,,మొత్తం సంపాదించిన వడ్డీ,,A,1,total_interest_earned
942,Total Investment Balance,,మొత్తం పెట్టుబడి నిల్వ,,A,1,total_investment_balance
943,Total Issued,,మొత్తం జారీ చేసినది,,A,1,total_issued
944,Total Loans Given,,మొత్తం ఇచ్చిన రుణాలు,,A,1,total_loans_given
945,Total Loans Issued,,మొత్తం జారీ చేసిన రుణాలు,,A,1,total_loans_issued
946,Total Outstanding,,మొత్తం బాకీ,,A,1,total_outstanding
947,Total Processing Fee,,మొత్తం ప్రాసెసింగ్ ఫీజు,,A,1,total_processing_fee
948,Total Profit Amount,,మొత్తం లాభం మొత్తం,,A,1,total_profit_amount
949,Total: {amount},,మొత్తం: {amount},,A,1,total_note
950,Town,,పట్టణం,,A,1,town
951,Transaction History,,లావాదేవీల చరిత్ర,,A,1,transaction_history
952,Transfer Agent,,ఏజెంట్ బదిలీ చేయండి,,A,1,transfer_agent
953,Transfer This Business?,,ఈ వ్యాపారాన్ని బదిలీ చేయాలా?,,A,1,transfer_this_business_question
954,Transfer To Agent,,ఏజెంట్‌కు బదిలీ చేయండి,,A,1,transfer_to_agent
955,Trash,,ట్రాష్,,A,1,trash
956,Type,,రకం,,A,1,type_field
957,Type: {type},,రకం: {type},,A,1,type_note
958,Unit,,యూనిట్,,A,1,unit
959,Universal Search,,యూనివర్సల్ శోధన,,A,1,universal_search
960,Unread,,చదవనివి,,A,1,unread
961,Unread ({count}),,చదవనివి ({count}),,A,1,unread_count_note
962,until submitted,,సమర్పించే వరకు,,A,1,until_submitted
963,Until {date},,{date} వరకు,,A,1,until_date
964,Update,,అప్‌డేట్ చేయండి,,A,1,update
965,Update Contact Info,,సంప్రదింపు వివరాలు నవీకరించండి,,A,1,update_contact_info
966,Update {amount},,{amount} నవీకరించండి,,A,1,update_amount
967,UPI,,UPI,,A,1,upi
968,UPI Balance,,UPI నిల్వ,,A,1,upi_balance
969,UPI Collected,,వసూలు చేసిన UPI,,A,1,upi_collected
970,Upload a Photo,,ఫోటో అప్‌లోడ్ చేయండి,,A,1,upload_photo
971,Upload Document,,పత్రం అప్‌లోడ్ చేయండి,,A,1,upload_document
972,Upload PDF,,PDF అప్‌లోడ్ చేయండి,,A,1,upload_pdf
973,Use My Location,,నా స్థానాన్ని ఉపయోగించండి,,A,1,use_my_location
974,Use Your Location?,,మీ స్థానాన్ని ఉపయోగించాలా?,,A,1,use_your_location_question
975,Username *,,యూజర్‌నేమ్ *,,A,1,username_field
976,Verified,,ధృవీకరించబడింది,,A,1,verified
977,Verify,,ధృవీకరించండి,,A,2,verify verify_button
978,Verify Password,,పాస్‌వర్డ్ ధృవీకరించండి,,A,1,verify_password
979,View,,చూడండి,,A,1,view
980,View Documents,,పత్రాలు చూడండి,,A,1,view_documents
981,View Live Photo,,లైవ్ ఫోటో చూడండి,,A,1,view_live_photo
982,View Loan,,రుణం చూడండి,,A,1,view_loan
983,View Statement,,స్టేట్‌మెంట్ చూడండి,,A,1,view_statement
984,View Transactions,,లావాదేవీలు చూడండి,,A,1,view_transactions
985,Village,,గ్రామం,,A,1,village
986,Village (A–Z),,గ్రామం (A–Z),,A,1,sort_by_village
987,Village *,,గ్రామం *,,A,1,village_required_field
988,Village Book,,గ్రామ పుస్తకం,,A,1,village_book
989,Village Name,,గ్రామం పేరు,,A,1,village_name_field
990,Village/Town Name *,,గ్రామం/పట్టణం పేరు *,,A,1,village_town_name_field
991,Villages,,గ్రామాలు,,A,1,villages
992,Visibility,,కనిపించే విధానం,,A,1,group_visibility
993,Visit Outcome,,సందర్శన ఫలితం,,A,1,visit_outcome
994,Visit Reason *,,సందర్శన కారణం *,,A,1,visit_reason_field
995,Visit {percent}%,,సందర్శన {percent}%,,A,1,visit_percent
996,Waiting On Owner,,యజమాని కోసం వేచి ఉన్నాం,,A,1,waiting_on_owner
997,Waive Fully,,పూర్తిగా మాఫీ చేయండి,,A,1,waive_fully
998,Waive/Reduce,,మాఫీ/తగ్గించండి,,A,1,waive_reduce
999,Waived/Reduced,,మాఫీ/తగ్గించబడింది,,A,1,waived_reduced
1000,Warnings (May Proceed),,హెచ్చరికలు (కొనసాగవచ్చు),,A,1,warnings_may_proceed
1001,Weekly,,వారానికొకసారి,,A,1,weekly
1002,Weeks,,వారాలు,,A,1,weeks
1003,Welcome,,స్వాగతం,,A,1,welcome
1004,Welcome Back,,మళ్ళీ స్వాగతం,,A,1,welcome_back
1005,What This Records,,ఇది ఏమి నమోదు చేస్తుంది,,A,1,what_this_records
1006,What Was Done,,ఏమి చేయబడింది,,A,1,what_was_done
1007,Who Paid (Optional),,ఎవరు చెల్లించారు (ఐచ్ఛికం),,A,1,who_paid_optional
1008,Who works {village}?,,{village}లో ఎవరు పని చేస్తారు?,,A,1,who_works_village_note
1009,Will Be Suspended,,సస్పెండ్ చేయబడుతుంది,,A,1,will_be_suspended
1010,Withdraw,,ఉపసంహరించండి,,A,1,withdraw
1011,Withdrawal History,,ఉపసంహరణ చరిత్ర,,A,1,withdrawal_history
1012,Withdrawal Requests,,ఉపసంహరణ అభ్యర్థనలు,,A,2,withdrawal_requests withdrawal_requests_title
1013,Withdrawal To,,ఉపసంహరణ ఇచ్చినది,,A,1,withdrawal_to
1014,Withdrawal Type,,ఉపసంహరణ రకం,,A,1,withdrawal_type
1015,Withdrawals,,ఉపసంహరణలు,,A,1,withdrawals
1016,Withdrawals (Investor),,ఉపసంహరణలు (పెట్టుబడిదారు),,A,1,withdrawals_investor
1017,Workforce,,శ్రామికులు,,A,1,workforce
1018,Workforce Management,,శ్రామిక నిర్వహణ,,A,1,workforce_management
1019,Working This Round,,ఈ రౌండ్‌లో పనిచేస్తున్నవారు,,A,1,working_this_round
1020,Workspace Information,,వర్క్‌స్పేస్ సమాచారం,,A,1,workspace_information
1021,Yearly Compound,,వార్షిక చక్రవడ్డీ,,A,1,yearly_compound
1022,Yearly Equivalent,,వార్షిక సమానం,,A,1,yearly_equivalent
1023,Yes,,అవును,,A,1,yes
1024,"Yes, Enable",,"అవును, ప్రారంభించండి",,A,1,yes_enable
1025,"Yes, I'm registered",,"అవును, నేను నమోదు అయ్యాను",,A,1,yes_im_registered
1026,You Collected,,మీరు వసూలు చేసినది,,A,1,you_collected
1027,Your Business Today,,ఈ రోజు మీ వ్యాపారం,,A,1,your_business_today
1028,{amount} submitted {date},,{amount} {date}న సమర్పించారు,,A,1,amount_submitted_note
1029,{area} was removed.,,{area} తీసివేయబడింది.,,A,1,area_removed_note
1030,{count} Agents,,{count} ఏజెంట్లు,,A,1,agents_count_note
1031,{count} already entered,,{count} ఇప్పటికే నమోదైంది,,A,1,loans_already_entered
1032,{count} Areas,,{count} ప్రాంతాలు,,A,1,areas_count_note
1033,{count} Customers,,{count} కస్టమర్లు,,A,1,customers_count_note
1034,{count} customers,,{count} కస్టమర్లు,,A,2,customers_in_village struck_customers_note
1035,{count} Days,,{count} రోజులు,,A,1,days_count
1036,{count} entries,,{count} నమోదులు,,A,1,entries_count
1037,{count} installments,,{count} వాయిదాలు,,A,2,duration_installments_note duration_note
1038,{count} Investors,,{count} పెట్టుబడిదారులు,,A,1,investors_count_note
1039,{count} item(s),,{count} అంశం(లు),,A,1,items_count_note
1040,{count} item(s) outstanding,,{count} అంశం(లు) బాకీ ఉన్నాయి,,A,1,items_outstanding_note
1041,{count} loans imported.,,{count} రుణాలు దిగుమతి చేయబడ్డాయి.,,A,1,loans_imported_note
1042,{count} members,,{count} సభ్యులు,,A,1,members_count_note
1043,{count} recorded instalment,,{count} నమోదైన వాయిదా,,A,1,recorded_instalment_note
1044,{count} recorded instalments,,{count} నమోదైన వాయిదాలు,,A,1,recorded_instalments_note
1045,{count} Selected,,{count} ఎంచుకోబడ్డాయి,,A,1,n_selected
1046,{cycle} Account,,{cycle} ఖాతా,,A,1,cycle_account_note
1047,{days} days left,,{days} రోజులు మిగిలి ఉన్నాయి,,A,1,days_left_note
1048,{n} of {total},,{total}లో {n},,A,1,person_of_total
1049,{paid} of {total},,{total}లో {paid},,A,1,instalments_x_of_y
1050,— OR —,,— లేదా —,,A,1,or_separator
1051, (+ {amount} interest on unpaid gap),, (+ చెల్లించని వ్యవధిపై {amount} వడ్డీ),,B,1,paid_interest_extra
